Supercluster,Shortname,AbsoluteIdxToSubfolders,Subcluster,Filename
3,"SM Gi1 D2 Quinpirole 200 ng D2,2400 ng Quinpirole",110,1,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\Quinpirole\Batch1\#01Ch1\Data\analysis_output.mat
3,"SM Gi1 D2 Quinpirole 200 ng D2,2400 ng Quinpirole",111,1,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\Quinpirole\Batch2\#09Ch1\Data\No Nan maxK2\analysis_output.mat
3,"SM Gi1 D2 Quinpirole 200 ng D2,2400 ng Quinpirole",112,1,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\Quinpirole\Batch2\#10Ch1\Data\Second run\analysis_output.mat
3,"SM Gi1 D2 Quinpirole 200 ng D2,2400 ng Quinpirole",113,1,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\Quinpirole\Batch2\#12Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",114,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 1\#01Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",115,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 1\#02Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",116,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 1\#03Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",117,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 1\#04Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",118,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 1\#05Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",119,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 2\#06Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",120,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 2\#07Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",121,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 2\#08Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",122,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 2\#09Ch1\Data\analysis_output.mat
26,"SM Myr Myr Quinpirole 200 ng JF 10 uM Quinpirole",123,2,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\10 uM Quinpirole\Batch 2\#11Ch1\Data\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",124,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#02Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",125,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#03Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",126,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#04Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",127,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#05Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",128,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#06Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",129,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#07Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",130,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#08Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",131,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#09Ch1\analysis_output.mat
27,"SM Myr Myr No treat 200 ng JF",132,3,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\Amazon\No treat\#10Ch1\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",133,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 1\#02Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",134,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 1\#03Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",135,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 1\#04Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",136,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 1\#05Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",137,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 1\#06Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",138,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 2\#07Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",139,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 2\#08Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",140,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 2\#09Ch1\Data\analysis_output.mat
25,"SM Myr Myr No Treat 200 ng JF",141,1,Z:\#BackupMicData\2017 Jan-Apr\170317_SM_myrHalo JF-646\Myr-halo C4 200 ng JF-646 0.5 nM\No Treat\batch 2\#10Ch1\Data\analysis_output.mat
16,"SM Gi1 no treat",142,1,NO\Empty\#
6,"SM Gi1 D2 Quinpirole 10 uM Quinpirole",143,2,Z:\#BackupMicData\2017 May-Jun\170607_SM_D2-ct-halo\15 ms\10 uM Quinpirole\#01Ch1\Data\analysis_output.mat
6,"SM Gi1 D2 Quinpirole 10 uM Quinpirole",144,2,Z:\#BackupMicData\2017 May-Jun\170607_SM_D2-ct-halo\15 ms\10 uM Quinpirole\#06Ch1\Data\analysis_output.mat
5,"SM Gi1 D2 No treat",145,1,Z:\#BackupMicData\2017 May-Jun\170607_SM_D2-ct-halo\15 ms\No treat\#01Ch1\Data\analysis_output.mat
5,"SM Gi1 D2 No treat",146,1,Z:\#BackupMicData\2017 May-Jun\170607_SM_D2-ct-halo\15 ms\No treat\#06Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",147,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#01Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",148,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#02Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",149,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#03Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",150,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#04Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",151,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#05Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",152,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#06Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",153,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#07Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",154,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#08Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",155,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#09Ch1\Data\analysis_output.mat
18,"SM Gi1 D2 ins4A Quinpirole 100 ng 10 10 uM Quinpirole",156,2,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\10 uM Quinpirole\#10Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",157,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#01Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",158,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#02Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",159,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#03Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",160,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#04Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",161,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#05Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",162,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#06Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",163,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#07Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",164,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#08Ch1\Data\analysis_output.mat
17,"SM Gi1 D2 ins4A No treat 100 ng No",165,1,Z:\#BackupMicData\2017 May-Jun\170613_SM_Gi1-ins4A-halo-ptxs D2 wt\Gi1-ins4A-halo-ptxs D2 wt 100 ng\No treat\#09Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",166,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#01Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",167,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#02Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",168,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#03Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",169,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#04Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",170,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#05Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",171,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#06Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",172,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#07Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",173,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#08Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",174,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#09Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",175,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#10Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",176,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#10Ch1\ImageData\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",177,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#11Ch1\Data\analysis_output.mat
2,"SM Gi1 D2 ins4A Sulperide 1 uM Sulperide",178,2,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\1 uM Sulperide\#12Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",179,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#01Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",180,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#02Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",181,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#03Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",182,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#03Ch1\Data run 1\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",183,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#04Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",184,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#05Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",185,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#06Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",186,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#07Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",187,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#08Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",188,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#09Ch1\Data\analysis_output.mat
1,"SM Gi1 D2 ins4A sulperide No treat",189,1,Z:\#BackupMicData\2017 May-Jun\170622_SM_Gi1-halo-ins4A-ptxs D2wt sulperide\No treat\#10Ch1\Data\analysis_output.mat
